statement,Significant number 1 detected,Significant number 2 detected,equation generated,answer evaluated
add 86 and 46,86,46,x+y,132
add 45 and 78,45,78,x+y,123
add 72 and 86,72,86,x+y,158
add 15 and 99,15,99,x+y,114
add 48 and 70,48,70,x+y,118
add 60 and 8,60,8,x+y,68
add 6 and 99,6,99,x+y,105
add 41 and 26,41,26,x+y,67
add 8 and 20,8,20,x+y,28
add 19 and 13,19,13,x+y,32
add 3 and 54,3,54,x+y,57
add 16 and 84,16,84,x+y,100
add 4 and 41,4,41,x+y,45
add 68 and 27,68,27,x+y,95
add 2 and 69,2,69,x+y,71
add 12 and 66,12,66,x+y,78
add 5 and 14,5,14,x+y,19
add 96 and 58,96,58,x+y,154
add 18 and 5,18,5,x+y,23
add 41 and 66,41,66,x+y,107
add 24 and 30,24,30,x+y,54
add 82 and 24,82,24,x+y,106
add 28 and 28,28,28,x+y,56
add 59 and 16,59,16,x+y,75
add 98 and 62,98,62,x+y,160
add 93 and 80,93,80,x+y,173
add 92 and 79,92,79,x+y,171
add 33 and 25,33,25,x+y,58
add 66 and 49,66,49,x+y,115
add 3 and 66,3,66,x+y,69
add 11 and 67,11,67,x+y,78
add 94 and 63,94,63,x+y,157
add 77 and 8,77,8,x+y,85
add 59 and 24,59,24,x+y,83
add 5 and 88,5,88,x+y,93
add 68 and 36,68,36,x+y,104
add 72 and 85,72,85,x+y,157
add 92 and 10,92,10,x+y,102
add 79 and 67,79,67,x+y,146
add 81 and 40,81,40,x+y,121
add 57 and 45,57,45,x+y,102
add 33 and 2,33,2,x+y,35
add 65 and 62,65,62,x+y,127
add 65 and 17,65,17,x+y,82
add 23 and 56,23,56,x+y,79
add 28 and 5,28,5,x+y,33
add 99 and 83,99,83,x+y,182
add 79 and 29,79,29,x+y,108
add 74 and 79,74,79,x+y,153
add 44 and 38,44,38,x+y,82
add 38 and 70,38,70,x+y,108
add 92 and 26,92,26,x+y,118
add 63 and 86,63,86,x+y,149
add 59 and 98,59,98,x+y,157
add 57 and 58,57,58,x+y,115
add 18 and 76,18,76,x+y,94
add 33 and 41,33,41,x+y,74
add 55 and 52,55,52,x+y,107
add 1 and 58,1,58,x+y,59
add 45 and 48,45,48,x+y,93
add 71 and 79,71,79,x+y,150
add 7 and 54,7,54,x+y,61
add 79 and 6,79,6,x+y,85
add 29 and 29,29,29,x+y,58
add 97 and 38,97,38,x+y,135
add 66 and 85,66,85,x+y,151
add 5 and 8,5,8,x+y,13
add 73 and 92,73,92,x+y,165
add 30 and 6,30,6,x+y,36
add 59 and 18,59,18,x+y,77
add 61 and 23,61,23,x+y,84
add 97 and 78,97,78,x+y,175
add 43 and 68,43,68,x+y,111
add 64 and 12,64,12,x+y,76
add 82 and 21,82,21,x+y,103
add 62 and 9,62,9,x+y,71
add 59 and 74,59,74,x+y,133
add 4 and 73,4,73,x+y,77
add 94 and 39,94,39,x+y,133
add 14 and 63,14,63,x+y,77
add 2 and 7,2,7,x+y,9
add 28 and 82,28,82,x+y,110
add 51 and 21,51,21,x+y,72
add 36 and 84,36,84,x+y,120
add 66 and 24,66,24,x+y,90
add 5 and 85,5,85,x+y,90
add 45 and 58,45,58,x+y,103
add 66 and 10,66,10,x+y,76
add 76 and 30,76,30,x+y,106
add 28 and 94,28,94,x+y,122
add 23 and 49,23,49,x+y,72
add 9 and 28,9,28,x+y,37
add 27 and 15,27,15,x+y,42
add 26 and 83,26,83,x+y,109
add 52 and 45,52,45,x+y,97
add 82 and 10,82,10,x+y,92
add 12 and 44,12,44,x+y,56
add 47 and 26,47,26,x+y,73
add 94 and 14,94,14,x+y,108
add 39 and 99,39,99,x+y,138
add 55 and 96,55,96,x+y,151
add 17 and 94,17,94,x+y,111
add 43 and 61,43,61,x+y,104
add 2 and 88,2,88,x+y,90
add 99 and 40,99,40,x+y,139
add 24 and 63,24,63,x+y,87
add 29 and 19,29,19,x+y,48
add 98 and 96,98,96,x+y,194
add 96 and 98,96,98,x+y,194
add 98 and 47,98,47,x+y,145
add 45 and 89,45,89,x+y,134
add 21 and 44,21,44,x+y,65
add 92 and 96,92,96,x+y,188
add 6 and 66,6,66,x+y,72
add 70 and 88,70,88,x+y,158
add 5 and 26,5,26,x+y,31
add 96 and 90,96,90,x+y,186
add 78 and 3,78,3,x+y,81
add 75 and 57,75,57,x+y,132
add 28 and 23,28,23,x+y,51
add 16 and 2,16,2,x+y,18
add 64 and 84,64,84,x+y,148
add 75 and 9,75,9,x+y,84
add 20 and 14,20,14,x+y,34
add 76 and 4,76,4,x+y,80
add 34 and 90,34,90,x+y,124
add 12 and 18,12,18,x+y,30
add 65 and 63,65,63,x+y,128
add 23 and 81,23,81,x+y,104
add 6 and 94,6,94,x+y,100
add 40 and 1,40,1,x+y,41
add 90 and 50,90,50,x+y,140
add 69 and 47,69,47,x+y,116
add 45 and 38,45,38,x+y,83
add 55 and 36,55,36,x+y,91
add 18 and 87,18,87,x+y,105
add 77 and 37,77,37,x+y,114
add 34 and 73,34,73,x+y,107
add 93 and 81,93,81,x+y,174
add 10 and 41,10,41,x+y,51
add 53 and 84,53,84,x+y,137
add 53 and 11,53,11,x+y,64
add 99 and 7,99,7,x+y,106
add 24 and 32,24,32,x+y,56
add 61 and 80,61,80,x+y,141
add 72 and 67,72,67,x+y,139
add 97 and 58,97,58,x+y,155
add 2 and 24,2,24,x+y,26
add 56 and 46,56,46,x+y,102
add 97 and 35,97,35,x+y,132
add 71 and 65,71,65,x+y,136
add 7 and 87,7,87,x+y,94
add 45 and 89,45,89,x+y,134
add 15 and 88,15,88,x+y,103
add 14 and 51,14,51,x+y,65
add 57 and 11,57,11,x+y,68
add 10 and 98,10,98,x+y,108
add 99 and 50,99,50,x+y,149
add 5 and 84,5,84,x+y,89
add 63 and 97,63,97,x+y,160
add 84 and 49,84,49,x+y,133
add 84 and 8,84,8,x+y,92
add 38 and 42,38,42,x+y,80
add 23 and 65,23,65,x+y,88
add 45 and 91,45,91,x+y,136
add 14 and 11,14,11,x+y,25
add 63 and 14,63,14,x+y,77
add 17 and 38,17,38,x+y,55
add 28 and 85,28,85,x+y,113
add 26 and 64,26,64,x+y,90
add 50 and 44,50,44,x+y,94
add 31 and 96,31,96,x+y,127
add 48 and 44,48,44,x+y,92
add 80 and 95,80,95,x+y,175
add 21 and 43,21,43,x+y,64
add 77 and 3,77,3,x+y,80
add 72 and 6,72,6,x+y,78
add 6 and 94,6,94,x+y,100
add 10 and 99,10,99,x+y,109
add 43 and 79,43,79,x+y,122
add 30 and 53,30,53,x+y,83
add 84 and 40,84,40,x+y,124
add 99 and 9,99,9,x+y,108
add 8 and 20,8,20,x+y,28
add 99 and 26,99,26,x+y,125
add 69 and 26,69,26,x+y,95
add 72 and 26,72,26,x+y,98
add 16 and 20,16,20,x+y,36
add 30 and 50,30,50,x+y,80
add 45 and 17,45,17,x+y,62
add 77 and 3,77,3,x+y,80
add 2 and 63,2,63,x+y,65
add 15 and 70,15,70,x+y,85
add 43 and 56,43,56,x+y,99
add 28 and 82,28,82,x+y,110
add 22 and 60,22,60,x+y,82
add 3 and 20,3,20,x+y,23
add 66 and 57,66,57,x+y,123
add 76 and 97,76,97,x+y,173
add 67 and 90,67,90,x+y,157
add 49 and 13,49,13,x+y,62
add 27 and 51,27,51,x+y,78
add 97 and 43,97,43,x+y,140
add 33 and 29,33,29,x+y,62
add 67 and 31,67,31,x+y,98
add 68 and 91,68,91,x+y,159
add 50 and 61,50,61,x+y,111
add 86 and 24,86,24,x+y,110
add 15 and 8,15,8,x+y,23
add 5 and 83,5,83,x+y,88
add 2 and 13,2,13,x+y,15
add 6 and 87,6,87,x+y,93
add 25 and 42,25,42,x+y,67
add 86 and 78,86,78,x+y,164
add 87 and 99,87,99,x+y,186
add 45 and 15,45,15,x+y,60
add 8 and 52,8,52,x+y,60
add 12 and 79,12,79,x+y,91
add 96 and 41,96,41,x+y,137
add 91 and 41,91,41,x+y,132
add 44 and 52,44,52,x+y,96
add 66 and 79,66,79,x+y,145
add 57 and 17,57,17,x+y,74
add 72 and 87,72,87,x+y,159
add 97 and 94,97,94,x+y,191
add 14 and 2,14,2,x+y,16
add 77 and 38,77,38,x+y,115
increase 84 by 42,84,42,x+y,126
increase 93 by 9,93,9,x+y,102
increase 72 by 38,72,38,x+y,110
increase 10 by 4,10,4,x+y,14
increase 9 by 99,9,99,x+y,108
increase 86 by 70,86,70,x+y,156
increase 8 by 5,8,5,x+y,13
increase 81 by 12,81,12,x+y,93
increase 35 by 43,35,43,x+y,78
increase 16 by 89,16,89,x+y,105
increase 50 by 74,50,74,x+y,124
increase 9 by 33,9,33,x+y,42
increase 12 by 20,12,20,x+y,32
increase 68 by 23,68,23,x+y,91
increase 36 by 32,36,32,x+y,68
increase 85 by 42,85,42,x+y,127
increase 14 by 14,14,14,x+y,28
increase 76 by 71,76,71,x+y,147
increase 51 by 1,51,1,x+y,52
increase 96 by 74,96,74,x+y,170
increase 77 by 43,77,43,x+y,120
increase 7 by 91,7,91,x+y,98
increase 96 by 97,96,97,x+y,193
increase 92 by 83,92,83,x+y,175
increase 7 by 92,7,92,x+y,99
increase 58 by 8,58,8,x+y,66
increase 95 by 97,95,97,x+y,192
increase 41 by 51,41,51,x+y,92
increase 22 by 15,22,15,x+y,37
increase 75 by 56,75,56,x+y,131
increase 94 by 50,94,50,x+y,144
increase 82 by 86,82,86,x+y,168
increase 62 by 66,62,66,x+y,128
increase 26 by 76,26,76,x+y,102
increase 43 by 48,43,48,x+y,91
increase 44 by 22,44,22,x+y,66
increase 1 by 22,1,22,x+y,23
increase 96 by 67,96,67,x+y,163
increase 60 by 48,60,48,x+y,108
increase 57 by 59,57,59,x+y,116
increase 31 by 28,31,28,x+y,59
increase 67 by 17,67,17,x+y,84
increase 99 by 57,99,57,x+y,156
increase 20 by 8,20,8,x+y,28
increase 90 by 37,90,37,x+y,127
increase 2 by 13,2,13,x+y,15
increase 72 by 47,72,47,x+y,119
increase 2 by 76,2,76,x+y,78
increase 40 by 50,40,50,x+y,90
increase 83 by 87,83,87,x+y,170
increase 13 by 49,13,49,x+y,62
increase 4 by 88,4,88,x+y,92
increase 52 by 88,52,88,x+y,140
increase 31 by 81,31,81,x+y,112
increase 83 by 17,83,17,x+y,100
increase 71 by 77,71,77,x+y,148
increase 71 by 61,71,61,x+y,132
increase 45 by 90,45,90,x+y,135
increase 3 by 61,3,61,x+y,64
increase 83 by 63,83,63,x+y,146
increase 96 by 75,96,75,x+y,171
increase 82 by 30,82,30,x+y,112
increase 26 by 42,26,42,x+y,68
increase 18 by 39,18,39,x+y,57
increase 6 by 36,6,36,x+y,42
increase 25 by 72,25,72,x+y,97
increase 23 by 11,23,11,x+y,34
increase 8 by 97,8,97,x+y,105
increase 44 by 82,44,82,x+y,126
increase 84 by 42,84,42,x+y,126
increase 73 by 93,73,93,x+y,166
increase 35 by 27,35,27,x+y,62
increase 47 by 61,47,61,x+y,108
increase 41 by 1,41,1,x+y,42
increase 20 by 86,20,86,x+y,106
increase 32 by 5,32,5,x+y,37
increase 73 by 69,73,69,x+y,142
increase 90 by 70,90,70,x+y,160
increase 17 by 51,17,51,x+y,68
increase 18 by 76,18,76,x+y,94
increase 34 by 69,34,69,x+y,103
increase 9 by 83,9,83,x+y,92
increase 13 by 98,13,98,x+y,111
increase 66 by 71,66,71,x+y,137
increase 43 by 36,43,36,x+y,79
increase 95 by 27,95,27,x+y,122
increase 30 by 39,30,39,x+y,69
increase 74 by 8,74,8,x+y,82
increase 30 by 25,30,25,x+y,55
increase 44 by 99,44,99,x+y,143
increase 48 by 61,48,61,x+y,109
increase 87 by 85,87,85,x+y,172
increase 83 by 60,83,60,x+y,143
increase 42 by 92,42,92,x+y,134
increase 50 by 76,50,76,x+y,126
increase 17 by 99,17,99,x+y,116
increase 94 by 76,94,76,x+y,170
increase 62 by 83,62,83,x+y,145
increase 55 by 79,55,79,x+y,134
increase 20 by 72,20,72,x+y,92
increase 8 by 99,8,99,x+y,107
increase 60 by 72,60,72,x+y,132
increase 12 by 55,12,55,x+y,67
increase 5 by 88,5,88,x+y,93
increase 54 by 62,54,62,x+y,116
increase 59 by 71,59,71,x+y,130
increase 20 by 85,20,85,x+y,105
increase 54 by 8,54,8,x+y,62
increase 64 by 95,64,95,x+y,159
increase 21 by 57,21,57,x+y,78
increase 11 by 97,11,97,x+y,108
increase 63 by 35,63,35,x+y,98
increase 56 by 82,56,82,x+y,138
increase 25 by 47,25,47,x+y,72
increase 41 by 28,41,28,x+y,69
increase 61 by 2,61,2,x+y,63
increase 21 by 20,21,20,x+y,41
increase 38 by 91,38,91,x+y,129
increase 36 by 51,36,51,x+y,87
increase 6 by 81,6,81,x+y,87
increase 29 by 97,29,97,x+y,126
increase 52 by 63,52,63,x+y,115
increase 91 by 33,91,33,x+y,124
increase 79 by 51,79,51,x+y,130
increase 97 by 98,97,98,x+y,195
increase 20 by 67,20,67,x+y,87
increase 67 by 80,67,80,x+y,147
increase 59 by 89,59,89,x+y,148
increase 89 by 27,89,27,x+y,116
increase 15 by 66,15,66,x+y,81
increase 98 by 27,98,27,x+y,125
increase 20 by 45,20,45,x+y,65
increase 14 by 73,14,73,x+y,87
increase 40 by 44,40,44,x+y,84
increase 42 by 13,42,13,x+y,55
increase 88 by 44,88,44,x+y,132
increase 38 by 61,38,61,x+y,99
increase 85 by 16,85,16,x+y,101
increase 6 by 84,6,84,x+y,90
increase 66 by 65,66,65,x+y,131
increase 82 by 65,82,65,x+y,147
increase 79 by 28,79,28,x+y,107
increase 80 by 42,80,42,x+y,122
increase 76 by 43,76,43,x+y,119
increase 26 by 54,26,54,x+y,80
increase 66 by 24,66,24,x+y,90
increase 5 by 81,5,81,x+y,86
increase 99 by 14,99,14,x+y,113
increase 31 by 72,31,72,x+y,103
increase 32 by 90,32,90,x+y,122
increase 26 by 82,26,82,x+y,108
increase 78 by 34,78,34,x+y,112
increase 25 by 82,25,82,x+y,107
increase 97 by 30,97,30,x+y,127
increase 69 by 82,69,82,x+y,151
increase 11 by 28,11,28,x+y,39
increase 90 by 19,90,19,x+y,109
increase 65 by 39,65,39,x+y,104
increase 96 by 81,96,81,x+y,177
increase 6 by 8,6,8,x+y,14
increase 22 by 37,22,37,x+y,59
increase 89 by 57,89,57,x+y,146
increase 30 by 44,30,44,x+y,74
increase 23 by 73,23,73,x+y,96
increase 92 by 32,92,32,x+y,124
increase 72 by 75,72,75,x+y,147
increase 7 by 43,7,43,x+y,50
increase 31 by 85,31,85,x+y,116
increase 46 by 98,46,98,x+y,144
increase 12 by 33,12,33,x+y,45
increase 75 by 71,75,71,x+y,146
increase 25 by 81,25,81,x+y,106
increase 36 by 4,36,4,x+y,40
increase 96 by 65,96,65,x+y,161
increase 77 by 46,77,46,x+y,123
increase 57 by 55,57,55,x+y,112
increase 11 by 85,11,85,x+y,96
increase 93 by 21,93,21,x+y,114
increase 44 by 77,44,77,x+y,121
increase 14 by 77,14,77,x+y,91
increase 55 by 69,55,69,x+y,124
increase 85 by 42,85,42,x+y,127
increase 34 by 11,34,11,x+y,45
increase 76 by 81,76,81,x+y,157
increase 15 by 54,15,54,x+y,69
increase 5 by 18,5,18,x+y,23
increase 59 by 28,59,28,x+y,87
increase 75 by 29,75,29,x+y,104
increase 7 by 77,7,77,x+y,84
increase 89 by 3,89,3,x+y,92
increase 15 by 19,15,19,x+y,34
increase 84 by 79,84,79,x+y,163
increase 60 by 26,60,26,x+y,86
increase 10 by 78,10,78,x+y,88
increase 77 by 44,77,44,x+y,121
increase 6 by 97,6,97,x+y,103
increase 34 by 79,34,79,x+y,113
increase 31 by 38,31,38,x+y,69
increase 11 by 2,11,2,x+y,13
increase 31 by 63,31,63,x+y,94
increase 84 by 60,84,60,x+y,144
increase 67 by 70,67,70,x+y,137
increase 36 by 54,36,54,x+y,90
increase 77 by 56,77,56,x+y,133
increase 40 by 16,40,16,x+y,56
increase 54 by 15,54,15,x+y,69
increase 44 by 25,44,25,x+y,69
increase 50 by 73,50,73,x+y,123
increase 6 by 93,6,93,x+y,99
increase 49 by 46,49,46,x+y,95
increase 4 by 62,4,62,x+y,66
increase 28 by 23,28,23,x+y,51
increase 10 by 2,10,2,x+y,12
increase 8 by 19,8,19,x+y,27
increase 94 by 40,94,40,x+y,134
increase 50 by 85,50,85,x+y,135
increase 32 by 19,32,19,x+y,51
increase 66 by 57,66,57,x+y,123
increase 88 by 70,88,70,x+y,158
increase 45 by 40,45,40,x+y,85
increase 85 by 55,85,55,x+y,140
increase 36 by 72,36,72,x+y,108
increase 34 by 2,34,2,x+y,36
increase 88 by 59,88,59,x+y,147
increase 56 by 43,56,43,x+y,99
increase 29 by 51,29,51,x+y,80
increase 4 by 34,4,34,x+y,38
increase 50 by 68,50,68,x+y,118
increase 94 by 98,94,98,x+y,192
increase 4 by 60,4,60,x+y,64
increase 29 by 47,29,47,x+y,76
increase 70 by 61,70,61,x+y,131
increase 73 by 4,73,4,x+y,77
increase 51 by 68,51,68,x+y,119
increase 83 by 33,83,33,x+y,116
increase 95 by 60,95,60,x+y,155
increase 17 by 25,17,25,x+y,42
increase 13 by 61,13,61,x+y,74
increase 16 by 59,16,59,x+y,75
increase 76 by 40,76,40,x+y,116
increase 95 by 39,95,39,x+y,134
increase 32 by 21,32,21,x+y,53
increase 42 by 96,42,96,x+y,138
increase 89 by 24,89,24,x+y,113
increase 35 by 37,35,37,x+y,72
increase 40 by 1,40,1,x+y,41
increase 16 by 81,16,81,x+y,97
increase 64 by 63,64,63,x+y,127
increase 42 by 22,42,22,x+y,64
increase 25 by 12,25,12,x+y,37
increase 20 by 5,20,5,x+y,25
increase 88 by 92,88,92,x+y,180
increase 77 by 85,77,85,x+y,162
increase 53 by 42,53,42,x+y,95
increase 34 by 97,34,97,x+y,131
increase 41 by 72,41,72,x+y,113
increase 47 by 9,47,9,x+y,56
increase 24 by 69,24,69,x+y,93
increase 88 by 66,88,66,x+y,154
increase 26 by 91,26,91,x+y,117
increase 96 by 33,96,33,x+y,129
increase 4 by 52,4,52,x+y,56
increase 65 by 83,65,83,x+y,148
increase 76 by 4,76,4,x+y,80
increase 80 by 36,80,36,x+y,116
increase 88 by 31,88,31,x+y,119
increase 26 by 43,26,43,x+y,69
increase 57 by 67,57,67,x+y,124
increase 17 by 84,17,84,x+y,101
increase 74 by 59,74,59,x+y,133
increase 12 by 63,12,63,x+y,75
increase 66 by 71,66,71,x+y,137
increase 77 by 26,77,26,x+y,103
increase 32 by 5,32,5,x+y,37
increase 52 by 52,52,52,x+y,104
increase 39 by 3,39,3,x+y,42
increase 34 by 45,34,45,x+y,79
increase 91 by 41,91,41,x+y,132
increase 37 by 25,37,25,x+y,62
increase 27 by 6,27,6,x+y,33
increase 92 by 33,92,33,x+y,125
increase 82 by 41,82,41,x+y,123
increase 95 by 45,95,45,x+y,140
increase 72 by 27,72,27,x+y,99
increase 71 by 71,71,71,x+y,142
increase 45 by 92,45,92,x+y,137
increase 76 by 75,76,75,x+y,151
increase 4 by 18,4,18,x+y,22
increase 40 by 31,40,31,x+y,71
increase 76 by 46,76,46,x+y,122
increase 29 by 61,29,61,x+y,90
increase 8 by 10,8,10,x+y,18
increase 41 by 73,41,73,x+y,114
increase 80 by 47,80,47,x+y,127
increase 31 by 38,31,38,x+y,69
increase 5 by 34,5,34,x+y,39
increase 13 by 6,13,6,x+y,19
increase 92 by 52,92,52,x+y,144
increase 99 by 75,99,75,x+y,174
increase 74 by 84,74,84,x+y,158
increase 54 by 78,54,78,x+y,132
increase 64 by 36,64,36,x+y,100
increase 56 by 15,56,15,x+y,71
increase 60 by 51,60,51,x+y,111
increase 64 by 47,64,47,x+y,111
increase 34 by 4,34,4,x+y,38
increase 75 by 69,75,69,x+y,144
increase 82 by 85,82,85,x+y,167
increase 68 by 12,68,12,x+y,80
increase 64 by 61,64,61,x+y,125
increase 32 by 2,32,2,x+y,34
increase 48 by 50,48,50,x+y,98
increase 77 by 76,77,76,x+y,153
increase 45 by 3,45,3,x+y,48
increase 93 by 11,93,11,x+y,104
increase 36 by 32,36,32,x+y,68
increase 95 by 95,95,95,x+y,190
increase 75 by 57,75,57,x+y,132
increase 18 by 96,18,96,x+y,114
increase 61 by 61,61,61,x+y,122
increase 80 by 16,80,16,x+y,96
increase 97 by 92,97,92,x+y,189
increase 53 by 72,53,72,x+y,125
increase 92 by 20,92,20,x+y,112
increase 53 by 68,53,68,x+y,121
increase 97 by 45,97,45,x+y,142
increase 66 by 1,66,1,x+y,67
increase 88 by 94,88,94,x+y,182
increase 74 by 47,74,47,x+y,121
increase 11 by 91,11,91,x+y,102
increase 70 by 10,70,10,x+y,80
increase 60 by 49,60,49,x+y,109
increase 5 by 57,5,57,x+y,62
increase 94 by 99,94,99,x+y,193
increase 20 by 53,20,53,x+y,73
increase 18 by 61,18,61,x+y,79
increase 13 by 75,13,75,x+y,88
increase 80 by 32,80,32,x+y,112
increase 5 by 37,5,37,x+y,42
increase 68 by 32,68,32,x+y,100
increase 73 by 94,73,94,x+y,167
increase 53 by 25,53,25,x+y,78
increase 56 by 71,56,71,x+y,127
increase 72 by 11,72,11,x+y,83
increase 10 by 46,10,46,x+y,56
increase 60 by 87,60,87,x+y,147
increase 88 by 43,88,43,x+y,131
increase 24 by 61,24,61,x+y,85
increase 10 by 88,10,88,x+y,98
increase 12 by 8,12,8,x+y,20
increase 37 by 8,37,8,x+y,45
increase 80 by 18,80,18,x+y,98
increase 26 by 1,26,1,x+y,27
increase 28 by 54,28,54,x+y,82
increase 96 by 52,96,52,x+y,148
increase 35 by 28,35,28,x+y,63
increase 71 by 37,71,37,x+y,108
increase 14 by 95,14,95,x+y,109
increase 24 by 61,24,61,x+y,85
increase 54 by 40,54,40,x+y,94
increase 33 by 25,33,25,x+y,58
increase 63 by 21,63,21,x+y,84
increase 94 by 33,94,33,x+y,127
increase 57 by 10,57,10,x+y,67
increase 36 by 63,36,63,x+y,99
increase 99 by 7,99,7,x+y,106
increase 74 by 26,74,26,x+y,100
increase 15 by 98,15,98,x+y,113
increase 25 by 28,25,28,x+y,53
increase 45 by 93,45,93,x+y,138
increase 25 by 20,25,20,x+y,45
increase 4 by 26,4,26,x+y,30
increase 22 by 72,22,72,x+y,94
increase 8 by 18,8,18,x+y,26
increase 58 by 55,58,55,x+y,113
increase 86 by 22,86,22,x+y,108
increase 93 by 86,93,86,x+y,179
increase 63 by 74,63,74,x+y,137
increase 3 by 50,3,50,x+y,53
increase 71 by 51,71,51,x+y,122
increase 54 by 10,54,10,x+y,64
increase 11 by 93,11,93,x+y,104
increase 5 by 81,5,81,x+y,86
increase 13 by 48,13,48,x+y,61
increase 83 by 80,83,80,x+y,163
increase 2 by 28,2,28,x+y,30
increase 38 by 14,38,14,x+y,52
increase 77 by 32,77,32,x+y,109
increase 3 by 62,3,62,x+y,65
increase 15 by 62,15,62,x+y,77
increase 86 by 67,86,67,x+y,153
increase 1 by 73,1,73,x+y,74
increase 81 by 4,81,4,x+y,85
increase 64 by 33,64,33,x+y,97
increase 49 by 99,49,99,x+y,148
increase 49 by 19,49,19,x+y,68
increase 1 by 61,1,61,x+y,62
increase 19 by 39,19,39,x+y,58
increase 3 by 18,3,18,x+y,21
increase 91 by 83,91,83,x+y,174
increase 49 by 82,49,82,x+y,131
increase 63 by 19,63,19,x+y,82
increase 77 by 20,77,20,x+y,97
increase 86 by 24,86,24,x+y,110
increase 57 by 80,57,80,x+y,137
increase 35 by 37,35,37,x+y,72
increase 48 by 66,48,66,x+y,114
increase 88 by 3,88,3,x+y,91
increase 50 by 74,50,74,x+y,124
increase 35 by 5,35,5,x+y,40
increase 10 by 81,10,81,x+y,91
increase 23 by 75,23,75,x+y,98
increase 6 by 6,6,6,x+y,12
increase 37 by 89,37,89,x+y,126
increase 83 by 37,83,37,x+y,120
increase 62 by 4,62,4,x+y,66
increase 71 by 84,71,84,x+y,155
increase 46 by 32,46,32,x+y,78
increase 34 by 97,34,97,x+y,131
increase 48 by 28,48,28,x+y,76
increase 33 by 26,33,26,x+y,59
increase 85 by 43,85,43,x+y,128
increase 1 by 5,1,5,x+y,6
increase 56 by 11,56,11,x+y,67
increase 35 by 87,35,87,x+y,122
increase 65 by 31,65,31,x+y,96
increase 71 by 24,71,24,x+y,95
increase 15 by 27,15,27,x+y,42
increase 13 by 56,13,56,x+y,69
increase 70 by 69,70,69,x+y,139
increase 71 by 48,71,48,x+y,119
increase 29 by 94,29,94,x+y,123
increase 12 by 16,12,16,x+y,28
increase 12 by 94,12,94,x+y,106
increase 23 by 71,23,71,x+y,94
increase 69 by 21,69,21,x+y,90
increase 98 by 64,98,64,x+y,162
increase 64 by 41,64,41,x+y,105
increase 59 by 10,59,10,x+y,69
increase 74 by 42,74,42,x+y,116
increase 62 by 71,62,71,x+y,133
increase 27 by 79,27,79,x+y,106
increase 87 by 59,87,59,x+y,146
increase 44 by 19,44,19,x+y,63
increase 85 by 70,85,70,x+y,155
increase 83 by 93,83,93,x+y,176
increase 10 by 14,10,14,x+y,24
increase 97 by 40,97,40,x+y,137
increase 23 by 2,23,2,x+y,25
increase 31 by 13,31,13,x+y,44
increase 35 by 85,35,85,x+y,120
increase 58 by 70,58,70,x+y,128
increase 64 by 36,64,36,x+y,100
increase 17 by 88,17,88,x+y,105
increase 48 by 9,48,9,x+y,57
increase 52 by 9,52,9,x+y,61
increase 33 by 22,33,22,x+y,55
increase 46 by 43,46,43,x+y,89
increase 91 by 5,91,5,x+y,96
increase 5 by 20,5,20,x+y,25
increase 91 by 49,91,49,x+y,140
increase 55 by 32,55,32,x+y,87
increase 21 by 22,21,22,x+y,43
increase 37 by 45,37,45,x+y,82
increase 79 by 3,79,3,x+y,82
increase 9 by 36,9,36,x+y,45
increase 86 by 27,86,27,x+y,113
increase 47 by 43,47,43,x+y,90
increase 94 by 4,94,4,x+y,98
increase 70 by 50,70,50,x+y,120
increase 48 by 57,48,57,x+y,105
increase 90 by 39,90,39,x+y,129
increase 7 by 86,7,86,x+y,93
increase 60 by 65,60,65,x+y,125
increase 34 by 19,34,19,x+y,53
increase 79 by 69,79,69,x+y,148
increase 20 by 83,20,83,x+y,103
increase 4 by 66,4,66,x+y,70
increase 73 by 41,73,41,x+y,114
increase 9 by 82,9,82,x+y,91
increase 57 by 84,57,84,x+y,141
increase 39 by 59,39,59,x+y,98
increase 32 by 83,32,83,x+y,115
increase 3 by 11,3,11,x+y,14
increase 2 by 90,2,90,x+y,92
increase 45 by 43,45,43,x+y,88
increase 41 by 15,41,15,x+y,56
increase 87 by 34,87,34,x+y,121
increase 41 by 37,41,37,x+y,78
increase 69 by 28,69,28,x+y,97
increase 16 by 69,16,69,x+y,85
increase 2 by 14,2,14,x+y,16
increase 40 by 72,40,72,x+y,112
increase 12 by 14,12,14,x+y,26
increase 4 by 8,4,8,x+y,12
increase 16 by 2,16,2,x+y,18
increase 9 by 36,9,36,x+y,45
increase 55 by 31,55,31,x+y,86
increase 30 by 27,30,27,x+y,57
increase 26 by 56,26,56,x+y,82
increase 72 by 45,72,45,x+y,117
increase 92 by 17,92,17,x+y,109
increase 29 by 75,29,75,x+y,104
increase 57 by 44,57,44,x+y,101
increase 86 by 58,86,58,x+y,144
increase 47 by 23,47,23,x+y,70
increase 51 by 60,51,60,x+y,111
increase 22 by 7,22,7,x+y,29
increase 93 by 35,93,35,x+y,128
increase 55 by 77,55,77,x+y,132
increase 69 by 31,69,31,x+y,100
increase 88 by 71,88,71,x+y,159
increase 15 by 35,15,35,x+y,50
increase 64 by 7,64,7,x+y,71
increase 49 by 10,49,10,x+y,59
increase 58 by 60,58,60,x+y,118
increase 88 by 7,88,7,x+y,95
increase 9 by 66,9,66,x+y,75
increase 39 by 42,39,42,x+y,81
